A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
,,,,,,,,,,,"Part Number","Part Description",,,,,,,,,,,,,Nitro Price
,,,,,,,,,,,"DRL-001","1/4 inch Drill Bit HSS",,,,,,,,,,,,,12.99
,,,,,,,,,,,"HMR-050","16oz Claw Hammer",,,,,,,,,,,,,24.99
,,,,,,,,,,,"SCR-100","Phillips Screwdriver Set",,,,,,,,,,,,,18.50
,,,,,,,,,,,"WRN-025","Adjustable Wrench 10 inch",,,,,,,,,,,,,34.99
,,,,,,,,,,,"PLR-075","Needle Nose Pliers 6 inch",,,,,,,,,,,,,16.75
,,,,,,,,,,,"SAW-200","Hand Saw 20 inch",,,,,,,,,,,,,42.00
,,,,,,,,,,,"TAP-150","Measuring Tape 25ft",,,,,,,,,,,,,19.99
,,,,,,,,,,,"LEV-300","Spirit Level 24 inch",,,,,,,,,,,,,28.50
,,,,,,,,,,,"SND-400","Sandpaper Assortment Pack",,,,,,,,,,,,,14.25
,,,,,,,,,,,"GLV-500","Work Gloves Heavy Duty",,,,,,,,,,,,,22.99
